group3,nic_div,workers_m
133,63,0.009604739999999999
133,64,0.002999395
133,71,0.0008307812499999999
133,82,0.005315035000000001
133,84,0.0010897474999999998
134,1,0.0011266075000000001
134,11,0.0011294825
134,16,0.00471202625
134,17,0.0023736599999999997
134,20,0.0012021974999999999
134,21,0.005685293750000001
134,26,0.00876035125
134,32,0.0038458162499999996
134,42,0.005894606249999999
134,47,0.000655385
134,49,0.00426043625
134,52,0.0055279925
134,56,0.0021141075
134,61,0.004503185
134,62,0.0243554
134,64,0.30556894375000004
134,65,0.036598649999999996
134,66,0.03385815125
134,68,0.00199872875
134,69,0.004771444999999999
134,70,0.00241364625
134,71,0.00471202625
134,72,0.0025462799999999997
134,74,0.018348464999999998
134,77,0.0016168737499999998
134,78,0.01194243625
134,79,0.0054541337499999995
134,82,0.0025671425
134,84,0.002971705
134,85,0.078748145
134,86,0.00840251625
134,88,0.004782686249999999
134,90,0.00039981875
134,94,0.004639208749999999
141,10,0.0004595425
141,47,0.00352052625
141,55,0.1018917275
141,56,0.28126289374999996
141,85,0.01522386
141,96,0.00139248125
142,2,0.00030217875
142,3,0.01651635375
142,8,0.009246725
142,10,0.0040461937500000005
142,11,0.006286633749999999
142,12,0.0013751525
142,13,0.0074853574999999995
142,15,0.001502515
142,32,0.00052499875
142,33,0.00339620625
142,35,0.0009094225
142,36,0.0012067274999999998
142,45,0.02404611875
142,46,0.12440485500000001
142,47,0.1121409875
142,49,0.001235845
142,56,0.00152567875
142,64,0.00431763
142,74,0.00028199
142,77,0.00103507625
142,85,0.0045259875
143,3,0.0007382224999999999
143,5,0.0021443674999999996
143,8,0.0038277949999999997
143,10,0.03954510125
143,11,0.00459347875
143,12,0.0001342375
143,13,0.0035239762499999997
143,14,0.009824349999999999
143,15,0.005596460000000001
143,17,0.0050804975
143,18,0.00277241375
143,19,0.00360285125
143,20,0.0032630037499999996
143,21,0.010365126249999999
143,22,0.00601271375
143,24,0.012385616249999998
143,25,0.0071719225000000004
143,26,0.006316758750000001
143,28,0.0072990962500000004
143,29,0.009149772499999998
143,30,0.00538938625
143,32,0.0022642962499999997
143,35,0.007686776249999999
143,36,0.00684540875
143,37,0.00803213375
143,41,0.00121466625
143,42,0.00445730875
143,43,0.00850598
143,45,0.01635398875
143,46,0.03756650375
143,47,0.07641400875
143,49,0.03736365875
143,52,0.0261273025
143,53,0.0031646075
143,55,0.0010485275
143,56,0.00869794625
143,61,0.006395531249999999
143,62,0.010818732499999999
143,63,0.0136146525
143,64,0.08910228875000001
143,65,0.022704228749999996
143,66,0.0032824300000000002
143,68,0.009167864999999999
143,69,0.00599205375
143,70,0.0027821875
143,74,0.006698087499999999
143,77,0.00861687625
143,78,0.00935449375
143,79,0.021761271250000002
143,80,0.00301712125
143,81,0.0027830437500000003
143,82,0.02306541625
143,84,0.0042039024999999995
143,85,0.0056285137499999995
143,86,0.01631380125
143,88,0.006844255
143,90,0.00423401875
143,93,0.0039258825
143,94,0.0015942225
143,95,0.0026746925
143,96,0.0026662075
211,9,0.00084572
211,19,0.0025844949999999996
211,20,0.0030350875
211,21,0.048689505
211,24,0.00648193375
211,47,0.0015910275
211,72,0.004973315
211,85,0.0012009149999999999
211,86,0.02413268125
212,29,0.005827458749999999
212,72,0.006042199999999999
212,85,0.00210344625
213,2,0.0018068849999999998
213,20,0.00395513
213,26,0.0035617912500000002
213,46,0.00725213
213,70,0.0041783587500000005
213,72,0.01619833875
213,74,0.00213247875
213,84,0.0077769675
213,86,0.03362564125
214,5,0.0051038062500000005
214,6,0.0023829762499999996
214,7,0.00261814125
214,10,0.00106768
214,11,0.00638026375
214,13,0.0296169075
214,14,0.00620034875
214,17,0.00011214
214,19,0.00918475875
214,20,0.035313819999999996
214,21,0.015908837500000002
214,22,0.01832472375
214,23,0.03197363875
214,24,0.03574342625
214,25,0.02321964125
214,26,0.046107835
214,27,0.027305599999999996
214,28,0.02273451125
214,29,0.05901817625
214,30,0.03365564
214,33,0.01019777125
214,35,0.025311075
214,36,0.01806413
214,41,0.15536358874999998
214,42,0.1816075575
214,43,0.0635444325
214,45,0.0018942775000000002
